"","ozone","radiation","temperature","wind"
"3",12,149,74,12.6
"4",18,313,62,11.5
"5",23,299,65,8.6
"6",19,99,59,13.8
"9",11,290,66,9.2
"10",14,274,68,10.9
"11",18,65,58,13.2
"13",34,307,66,12
"14",6,78,57,18.4
"15",30,322,68,11.5
"16",11,44,62,9.7
"17",1,8,59,9.7
"18",11,320,73,16.6
"22",45,252,81,14.9
"23",115,223,79,5.7
"29",21,191,77,14.9
"30",37,284,72,20.7
"33",13,137,76,10.3
"34",135,269,84,4
"37",64,175,83,4.6
"38",40,314,83,10.9
"39",77,276,88,5.1
"40",97,267,92,6.3
"42",85,175,89,7.4
"43",10,264,73,14.3
"47",35,274,82,10.3
"49",79,187,87,5.1
"51",16,7,74,6.9
"52",80,294,86,8.6
"56",82,213,88,7.4
"58",64,253,83,7.4
"59",59,254,81,9.2
"60",39,83,81,6.9
"61",9,24,81,13.8
"63",122,255,89,4
"65",110,207,90,8
"67",28,273,82,11.5
"68",65,157,80,9.7
"73",44,190,78,10.3
"76",45,212,79,9.7
"77",168,238,81,3.4
"79",76,203,97,9.7
"80",118,225,94,2.3
"81",84,237,96,6.3
"82",85,188,94,6.3
"85",73,183,93,2.8
"88",32,92,84,15.5
"90",23,220,78,10.3
"92",24,259,73,9.7
"95",28,238,77,6.3
"98",46,237,78,6.9
"100",13,27,76,10.3
"101",24,238,68,10.3
"103",13,238,64,12.6
"105",36,139,81,10.3
